customerID,Segment,ChurnProb,CLV,InterventionScore,RFM_Score,Contract,tenure,MonthlyCharges
5055-MGMGF,At-Risk Stars,31.23,67.59,76.14,15,Month-to-month,65,105.05
3644-QXEHN,Champions,25.1,84.06,76.1,11,Month-to-month,13,97.0
6522-YRBXD,Champions,23.15,90.9,75.9,12,Month-to-month,35,94.55
5740-YHGTW,Champions,26.04,80.53,75.65,14,Month-to-month,70,97.55
9909-IDLEK,Champions,25.44,82.41,75.62,11,Month-to-month,20,96.8
1216-BGTSP,At-Risk Stars,34.04,61.53,75.55,14,Month-to-month,45,108.45
5325-UWTWJ,Champions,19.72,106.11,75.47,11,Month-to-month,31,90.55
9058-HRZSV,Champions,23.63,88.43,75.36,14,Month-to-month,65,94.4
4391-LNRXK,Champions,24.24,86.08,75.26,12,Month-to-month,22,94.95
6578-KRMAW,Champions,22.83,91.4,75.25,11,Month-to-month,32,93.4
0689-DSXGL,Champions,14.22,146.64,75.23,12,Month-to-month,52,85.8
9776-OJUZI,Champions,25.28,81.92,74.71,14,Month-to-month,65,95.45
3162-ZJZFU,Champions,22.72,91.08,74.65,12,Month-to-month,53,92.55
7529-ZDFXI,Champions,20.07,103.07,74.62,11,Month-to-month,57,89.85
6627-CFOSN,Champions,28.67,72.13,74.59,14,Month-to-month,59,99.45
4636-JGAAI,Champions,19.3,106.84,74.38,11,Month-to-month,34,88.85
1427-VERSM,Champions,28.58,71.91,74.12,14,Month-to-month,56,98.7
3982-DQLUS,Champions,16.24,126.17,73.92,13,Month-to-month,65,85.75
1074-AMIOH,At-Risk Stars,35.46,57.75,73.86,14,Month-to-month,53,108.25
0880-FVFWF,Champions,17.28,118.38,73.78,12,Month-to-month,56,86.4
5816-QVHRX,At-Risk Stars,30.2,67.68,73.72,12,Month-to-month,37,100.3
5760-IFJOZ,At-Risk Stars,35.45,57.61,73.67,11,Month-to-month,3,107.95
8123-QBNAZ,At-Risk Stars,33.42,60.94,73.46,13,Month-to-month,36,104.5
4070-OKWVH,Champions,26.26,77.23,73.16,14,Month-to-month,52,94.6
3865-ZYKAD,Champions,16.4,123.57,73.09,13,Month-to-month,69,84.9
8840-DQLGN,At-Risk Stars,31.02,65.31,73.06,13,Month-to-month,35,100.5
4220-TINQT,At-Risk Stars,35.19,57.4,72.86,15,Month-to-month,61,106.35
4277-UDIEF,Champions,10.01,201.64,72.81,12,Month-to-month,24,81.0
1930-WNXSB,Champions,25.16,80.19,72.78,12,Month-to-month,58,92.85
0621-HJWXJ,Champions,5.83,345.53,72.71,12,Month-to-month,63,81.55
1485-YDHMM,Champions,25.63,78.62,72.68,12,Month-to-month,52,93.25
5206-XZZQI,Champions,9.27,217.04,72.6,11,Month-to-month,53,80.6
6917-YACBP,Champions,22.54,89.21,72.54,12,Month-to-month,59,89.75
7925-PNRGI,Champions,11.78,170.61,72.48,13,Month-to-month,45,81.3
6473-ULUHT,Champions,17.46,114.94,72.38,11,Month-to-month,16,84.9
2250-IVBWA,Champions,5.72,349.99,72.17,12,Month-to-month,64,81.05
7030-NJVDP,Champions,22.84,87.29,71.9,10,Month-to-month,24,89.25
8059-UDZFY,At-Risk Stars,35.6,55.86,71.73,13,Month-to-month,33,105.35
7824-PANSQ,Champions,12.28,161.82,71.69,11,Month-to-month,58,80.65
4989-LIXVT,Champions,29.03,68.37,71.59,15,Month-to-month,68,95.9
2587-EKXTS,Low Priority,39.44,50.29,71.55,14,Month-to-month,44,111.5
0376-OIWME,Champions,27.37,72.31,71.39,11,Month-to-month,36,93.6
6092-QZVPP,Champions,9.36,211.35,71.33,12,Month-to-month,36,79.2
2826-UWHIS,Champions,14.31,138.18,71.32,11,Month-to-month,45,81.4
9921-EZKBY,Champions,28.94,68.25,71.23,12,Month-to-month,33,95.3
7426-WEIJX,Champions,13.77,143.35,71.22,11,Month-to-month,60,80.95
5886-VLQVU,Champions,24.28,81.29,71.18,10,Month-to-month,35,89.85
1061-PNTHC,Champions,1.29,1529.7,71.09,14,Month-to-month,56,109.6
5274-XHAKY,Champions,28.68,68.37,70.72,14,Month-to-month,41,94.3
8731-WBBMB,Champions,16.25,120.46,70.6,12,Month-to-month,26,81.9
5575-TPIZQ,Champions,24.37,80.26,70.55,11,Month-to-month,46,89.15
2272-UOINI,Champions,10.66,183.07,70.38,10,Month-to-month,7,78.5
9774-NRNAU,Champions,3.17,614.76,70.37,12,Month-to-month,27,84.8
5804-HYIEZ,Low Priority,37.44,52.0,70.22,15,Month-to-month,70,106.05
1356-MKYSK,Champions,11.54,168.71,70.21,9,Month-to-month,6,78.65
3714-XPXBW,Champions,12.13,160.48,70.2,11,Month-to-month,37,78.9
9938-EKRGF,Champions,20.03,97.13,70.16,11,Month-to-month,15,84.45
2988-GBIVW,Champions,26.37,73.75,70.16,13,Month-to-month,70,90.85
0239-OXEXL,Champions,19.84,98.03,70.13,12,Month-to-month,46,84.25
7776-QGYJC,Champions,16.62,116.83,70.02,10,Month-to-month,39,81.5
0584-BJQGZ,Champions,11.62,166.75,69.91,11,Month-to-month,25,78.35
7268-IGMFD,Champions,29.35,65.93,69.8,10,Month-to-month,18,93.9
7658-UYUQS,Champions,22.74,85.09,69.8,10,Month-to-month,21,86.55
7241-AJHFS,Champions,23.88,81.0,69.76,10,Month-to-month,32,87.65
0744-GKNGE,Champions,2.67,722.55,69.69,13,Month-to-month,64,86.8
2692-BUCFV,At-Risk Stars,35.08,55.02,69.61,12,Month-to-month,29,101.45
3541-ZNUHK,Champions,21.5,89.76,69.59,12,Month-to-month,55,85.1
5647-FXOTP,Low Priority,37.95,50.84,69.58,14,Month-to-month,60,105.9
4716-HHKQH,Low Priority,38.64,49.92,69.57,12,Month-to-month,20,107.05
4007-NHVHI,At-Risk Stars,32.01,60.14,69.44,13,Month-to-month,56,96.85
3680-CTHUH,Champions,5.82,495.5,69.29,14,One year,60,116.6
1036-GUDCL,Champions,4.53,421.83,68.98,12,Month-to-month,60,79.05
2796-UUZZO,Champions,3.96,482.56,68.94,12,Month-to-month,63,80.3
5393-HJZSM,Champions,8.58,222.34,68.79,11,Month-to-month,32,76.3
9896-UYMIE,Champions,9.15,312.04,68.65,15,One year,66,114.3
2027-WKXMW,Low Priority,40.48,47.0,68.63,15,Month-to-month,63,108.75
2305-MRGLV,Champions,10.72,177.51,68.62,8,Month-to-month,28,76.55
3062-ICYZQ,At-Risk Stars,30.56,62.23,68.6,12,Month-to-month,51,93.8
4138-NAXED,Champions,18.14,104.84,68.59,11,Month-to-month,51,81.0
3780-DDGSE,Champions,9.1,208.82,68.53,10,Month-to-month,35,76.05
6476-YHMGA,Champions,6.34,299.83,68.52,10,Month-to-month,15,76.5
2874-YXVVA,Low Priority,38.52,49.25,68.43,13,Month-to-month,34,105.1
2697-NQBPF,Low Priority,38.68,49.05,68.43,13,Month-to-month,34,105.35
8404-FYDIB,Champions,24.55,77.27,68.42,11,Month-to-month,26,86.65
5712-AHQNN,Champions,29.17,64.91,68.29,11,Month-to-month,43,91.65
3583-KRKMD,Champions,7.0,270.48,68.25,7,Month-to-month,18,75.9
4080-IIARD,Champions,10.95,172.72,68.23,10,Month-to-month,13,76.2
2669-OIDSD,Low Priority,35.53,53.22,68.19,13,Month-to-month,48,100.05
9943-VSZUV,Champions,7.28,259.47,68.15,11,Month-to-month,67,75.7
6825-UYPFK,Champions,9.43,200.17,68.07,8,Month-to-month,23,75.6
7449-HVPIV,Champions,28.37,66.53,68.07,11,Month-to-month,55,90.4
3865-QBWSJ,Champions,18.63,100.89,67.8,10,Month-to-month,38,80.45
5118-MUEYH,Low Priority,39.16,47.97,67.75,14,Month-to-month,48,105.1
3842-QTGDL,Champions,19.12,98.18,67.71,9,Month-to-month,16,80.75
7929-DMBCV,Champions,19.47,96.41,67.69,9,Month-to-month,20,81.0
4002-BQWPQ,Champions,20.45,91.69,67.61,12,Month-to-month,25,81.75
6233-HXJMX,Champions,28.01,66.86,67.55,12,Month-to-month,45,89.3
8023-QHAIO,Champions,14.26,131.01,67.36,10,Month-to-month,56,76.85
4431-EDMIQ,Champions,5.65,330.3,67.35,10,Month-to-month,7,75.7
5448-VWNAM,Champions,12.55,148.77,67.35,10,Month-to-month,19,75.9
4826-TZEVA,Champions,7.28,256.59,67.33,8,Month-to-month,40,74.8
8198-RKSZG,Champions,19.4,96.12,67.27,11,Month-to-month,14,80.45
1552-AAGRX,Low Priority,40.45,46.05,67.18,13,Month-to-month,30,106.4
3452-SRFEG,Champions,9.94,187.06,67.07,10,Month-to-month,49,74.6
9495-SKLKD,At-Risk Stars,33.83,54.95,67.05,13,Month-to-month,45,95.95
5302-BDJNT,At-Risk Stars,33.57,55.31,66.98,12,Month-to-month,35,95.5
2267-WTPYD,At-Risk Stars,32.48,57.15,66.95,13,Month-to-month,57,94.0
5973-EJGDP,Champions,27.13,68.3,66.82,12,Month-to-month,51,87.35
6591-QGOYB,Low Priority,41.2,44.76,66.51,12,Month-to-month,17,106.65
9576-SYUHJ,At-Risk Stars,30.75,59.97,66.5,11,Month-to-month,37,91.15
5846-QFDFI,Champions,28.62,64.4,66.49,11,Month-to-month,33,88.6
4827-LTQRJ,Champions,8.26,334.8,66.48,15,One year,66,110.6
0206-TBWLC,Champions,4.4,628.64,66.47,14,One year,54,114.65
4118-CEVPF,Champions,9.8,281.83,66.44,13,One year,35,110.8
8920-NAVAY,Champions,10.26,268.83,66.31,15,One year,62,110.75
4868-AADLV,Champions,17.13,160.89,66.27,15,One year,66,116.25
4833-QTJNO,Champions,24.49,74.99,66.25,13,Month-to-month,67,83.85
3192-LNKRK,Champions,24.69,74.41,66.25,10,Month-to-month,34,84.05
8705-DWKTI,Champions,24.47,75.05,66.23,11,Month-to-month,52,83.8
1867-TJHTS,Champions,20.21,90.79,66.17,11,Month-to-month,58,79.8
2811-POVEX,Champions,28.87,63.54,66.16,10,Month-to-month,23,88.45
8631-WUXGY,Low Priority,37.43,48.96,66.09,13,Month-to-month,46,99.8
4001-TSBTV,At-Risk Stars,31.57,58.01,66.04,12,Month-to-month,58,91.55
2474-LCNUE,Champions,6.45,283.77,66.02,10,Month-to-month,23,73.65
6572-ADKRS,Champions,13.36,137.01,66.01,9,Month-to-month,46,74.8
6655-LHBYW,Champions,15.79,173.79,65.98,14,One year,50,114.35
4646-QZXTF,Champions,22.15,82.58,65.96,11,Month-to-month,7,81.25
0795-GMVQO,Champions,10.05,272.36,65.85,15,One year,67,109.9
4374-YMUSQ,Champions,17.89,152.93,65.79,13,One year,34,116.25
0365-TRTPY,At-Risk Stars,31.61,57.68,65.75,11,Month-to-month,37,91.2
7567-ECMCM,Champions,20.93,87.01,65.7,9,Month-to-month,24,79.85
0064-YIJGF,Champions,15.56,117.03,65.69,8,Month-to-month,27,75.75
7982-VCELR,Low Priority,34.45,52.83,65.65,11,Month-to-month,36,94.8
8189-HBVRW,At-Risk Stars,31.4,57.98,65.65,12,Month-to-month,53,90.8
5649-RXQTV,Low Priority,37.4,48.63,65.59,13,Month-to-month,51,99.0
2616-UUTFK,Champions,8.04,226.15,65.59,11,Month-to-month,33,72.75
3199-NPKCN,Champions,13.06,208.9,65.58,15,One year,67,111.25
6633-SYEUS,Champions,24.71,73.58,65.57,11,Month-to-month,23,83.2
2476-YGEFM,Champions,16.18,112.33,65.55,8,Month-to-month,29,76.0
2675-OTVVJ,At-Risk Stars,30.52,59.46,65.46,11,Month-to-month,31,89.45
5949-HGVJL,Champions,11.01,164.64,65.39,11,Month-to-month,26,73.05
0439-IFYUN,Champions,14.52,124.77,65.34,8,Month-to-month,18,74.7
6635-CPNUN,Low Priority,36.06,50.23,65.32,12,Month-to-month,28,96.6
0310-MVLET,Low Priority,37.77,47.94,65.31,14,Month-to-month,61,99.15
8849-PRIQJ,Champions,6.21,436.82,65.26,15,One year,67,109.4
8591-NXRCV,Champions,14.73,122.74,65.19,12,Month-to-month,41,74.65
2504-DSHIH,Champions,28.64,63.04,65.12,10,Month-to-month,23,86.8
6959-GQEGV,Champions,16.9,106.75,65.08,11,Month-to-month,45,75.95
3853-LYGAM,Low Priority,35.73,50.44,65.0,11,Month-to-month,17,95.65
0786-IVLAW,Champions,7.73,349.56,64.95,15,One year,66,108.1
2070-FNEXE,Champions,18.0,99.85,64.83,7,Month-to-month,7,76.45
4853-OITSN,At-Risk Stars,31.0,57.96,64.81,9,Month-to-month,5,89.15
8894-JVDCV,Champions,3.54,761.75,64.79,15,One year,62,115.05
1028-FFNJK,Low Priority,39.81,45.1,64.75,12,Month-to-month,30,101.5
4767-HZZHQ,Champions,24.66,72.73,64.7,10,Month-to-month,30,82.05
9822-BIIGN,Champions,7.28,246.31,64.68,11,Month-to-month,53,71.85
9746-MDMBK,Champions,17.3,155.22,64.57,14,One year,47,113.45
5201-USSQZ,Champions,28.51,62.8,64.56,10,Month-to-month,26,85.9
4821-SJHJV,At-Risk Stars,31.71,56.41,64.51,11,Month-to-month,32,89.6
9470-XCCEM,At-Risk Stars,31.86,56.06,64.41,10,Month-to-month,35,89.65
2452-SNHFZ,Champions,17.33,103.05,64.39,9,Month-to-month,47,75.45
5981-ZVXOT,Champions,11.92,224.43,64.34,13,One year,35,108.35
7299-GNVPL,Champions,27.54,64.68,64.23,11,Month-to-month,23,84.4
0186-CAERR,Champions,20.3,131.59,64.22,15,One year,71,116.3
2322-VCZHZ,At-Risk Stars,32.35,55.04,64.22,11,Month-to-month,23,90.0
7813-ZGGAW,Low Priority,37.23,47.78,64.17,12,Month-to-month,31,96.6
6198-PNNSZ,Champions,14.3,186.47,64.14,14,One year,56,109.8
2603-HVKCG,Low Priority,40.34,44.08,64.13,12,Month-to-month,31,101.4
8868-GAGIO,Champions,27.81,63.94,64.12,12,Month-to-month,45,84.55
5924-IFQTT,Champions,4.97,357.51,64.11,10,Month-to-month,13,72.8
2266-SJNAT,Champions,4.97,536.61,64.07,15,One year,72,109.15
2971-SGAFL,Champions,21.96,80.87,64.06,10,Month-to-month,13,78.75
4476-OSWTN,Champions,15.3,174.11,64.05,15,One year,69,110.55
5921-NGYRH,Champions,4.41,402.09,63.98,11,Month-to-month,64,73.55
1698-XFZCI,Champions,11.92,223.18,63.98,15,One year,61,107.75
9475-NNDGC,Champions,18.11,146.71,63.89,15,One year,71,113.15
3865-YIOTT,Champions,8.58,309.3,63.77,15,One year,72,106.1
2172-EJXVF,Champions,8.22,322.01,63.65,15,One year,71,105.9
8659-HDIYE,Champions,3.75,470.21,63.61,13,Month-to-month,64,74.65
7718-UPSKJ,Champions,10.85,243.49,63.54,15,One year,69,106.4
1360-XFJMR,Champions,15.46,170.72,63.47,15,One year,67,109.7
5168-MQQCA,Champions,14.11,187.09,63.47,15,One year,72,108.5
6465-GSRCL,Champions,5.99,440.84,63.46,15,One year,67,106.6
7217-JYHOQ,Champions,8.19,214.49,63.38,10,Month-to-month,24,70.3
6664-FPDAC,Champions,17.89,147.29,63.35,14,One year,56,111.95
6994-FGRHH,Champions,10.98,240.0,63.35,15,One year,70,106.15
1060-ENTOF,Champions,7.86,335.19,63.34,15,One year,67,105.4
7550-WIQVA,Champions,14.17,185.73,63.29,14,One year,50,108.25
8851-RAGOV,Champions,11.95,146.83,63.28,10,Month-to-month,25,71.05
1679-JRFBR,Champions,4.78,550.39,63.25,15,One year,70,108.15
4879-GZLFH,Low Priority,35.13,49.87,63.18,12,Month-to-month,42,92.15
9169-BSVIN,Champions,18.35,95.48,63.17,9,Month-to-month,12,74.75
8999-XXGNS,Champions,6.32,415.74,63.13,15,One year,72,105.75
6563-VNPMN,At-Risk Stars,30.1,58.11,63.07,12,Month-to-month,45,85.7
3898-GUYTS,Low Priority,38.66,45.22,63.05,14,Month-to-month,45,97.05
3419-SNJJD,Low Priority,43.6,40.08,63.02,15,Month-to-month,65,105.25
7136-IHZJA,Champions,13.28,131.55,62.99,10,Month-to-month,40,71.35
2560-PPCHE,Champions,10.05,260.49,62.94,15,One year,65,105.05
9036-CSKBW,Champions,4.82,542.72,62.89,14,One year,51,107.45
5760-WRAHC,Champions,8.69,200.63,62.88,10,Month-to-month,22,69.75
1996-DBMUS,Champions,12.25,142.17,62.8,8,Month-to-month,48,70.65
5376-PCKNB,Champions,8.02,325.64,62.78,15,One year,72,104.45
2165-VOEGB,Champions,11.03,236.79,62.77,14,One year,46,105.2
0550-DCXLH,Champions,17.05,102.1,62.77,10,Month-to-month,13,73.35
3207-OYBWH,Low Priority,37.82,45.97,62.7,13,Month-to-month,57,95.25
3466-BYAVD,Champions,8.43,206.21,62.66,9,Month-to-month,15,69.5
1492-QGCLU,At-Risk Stars,30.65,56.62,62.6,13,Month-to-month,53,85.7
2279-AXJJK,Low Priority,38.19,45.45,62.6,13,Month-to-month,52,95.65
0771-WLCLA,Low Priority,47.91,36.21,62.57,12,Month-to-month,16,112.95
5678-VFNEQ,Champions,7.97,326.63,62.56,15,One year,71,104.1
8401-EMUWF,Champions,9.4,184.35,62.49,11,Month-to-month,42,69.4
3956-CJUST,Champions,20.32,85.19,62.44,8,Month-to-month,23,75.4
2056-EVGZL,Champions,12.85,202.12,62.43,15,One year,68,105.75
7203-OYKCT,Champions,5.88,441.67,62.4,15,One year,72,104.95
7088-FBAWU,Champions,19.32,89.51,62.38,9,Month-to-month,17,74.55
7459-IMVYU,Champions,11.92,144.96,62.31,11,Month-to-month,38,69.95
5336-UFNZP,Champions,15.26,169.72,62.28,15,One year,65,107.45
8433-WPJTV,Champions,9.96,260.13,62.27,15,One year,65,103.9
6408-OTUBZ,Champions,6.04,429.0,62.26,15,One year,66,104.55
4323-OHFOW,Champions,13.06,198.08,62.22,15,One year,70,105.55
0442-ZXKVS,Champions,22.7,113.9,62.17,14,One year,54,115.6
9688-YGXVR,Low Priority,33.17,51.97,62.17,12,Month-to-month,44,88.15
6429-SHBCB,Champions,11.58,148.7,62.11,9,Month-to-month,19,69.6
6575-SUVOI,Champions,11.41,150.85,62.08,10,Month-to-month,25,69.5
1658-XUHBX,Low Priority,33.75,51.01,62.08,12,Month-to-month,59,88.75
2659-VXMWZ,Champions,19.66,130.88,61.87,15,One year,67,111.3
5188-HGMLP,Champions,19.49,87.94,61.82,10,Month-to-month,54,74.0
0565-JUPYD,Champions,5.41,475.28,61.78,15,One year,63,104.5
4726-DLWQN,Champions,14.03,122.07,61.77,12,Month-to-month,50,70.35
2673-CXQEU,Champions,19.16,134.05,61.75,14,One year,56,110.5
5146-CBVOE,Champions,21.23,80.44,61.59,7,Month-to-month,16,75.1
9844-FELAJ,Champions,17.0,150.65,61.58,15,One year,70,107.9
3059-NGMXB,Champions,12.08,141.4,61.58,9,Month-to-month,14,69.2
2272-JKMSI,Champions,3.26,785.73,61.57,15,One year,62,110.8
0701-TJSEF,Champions,7.82,218.01,61.51,9,Month-to-month,9,68.25
6377-WHAOX,Low Priority,45.48,37.49,61.49,14,Month-to-month,60,106.15
9029-FEGVJ,Champions,26.1,65.27,61.44,10,Month-to-month,32,79.3
7346-MEDWM,Champions,29.91,56.93,61.42,12,Month-to-month,59,83.25
1684-FLBGS,Champions,13.17,129.3,61.41,11,Month-to-month,23,69.5
8663-UPDGF,Champions,13.18,129.13,61.4,10,Month-to-month,26,69.5
7175-NTIXE,Champions,22.78,74.72,61.38,10,Month-to-month,25,76.15
8715-KKTFG,Champions,5.77,442.23,61.35,15,One year,61,103.3
1173-NOEYG,Low Priority,35.64,47.72,61.34,10,Month-to-month,27,90.15
2122-YWVYA,Champions,21.97,77.4,61.33,7,Month-to-month,18,75.4
2495-KZNFB,Low Priority,36.04,47.18,61.32,11,Month-to-month,33,90.65
9518-IMLHK,Champions,18.31,92.74,61.25,11,Month-to-month,31,72.45
